,publisher,author,isbn,date,title,weeks_on_list,no_of_words_title
433,Zebra,Kat Martin,1420143174,2018-02-18,BEYOND DANGER,1,2
434,Delacorte,Alan Bradley,0345540018,2018-02-18,THE GRAVE'S A FINE AND PRIVATE PLACE,1,7
435,Avon,Jill Shalvis,0062741810,2018-02-11,ABOUT THAT KISS,1,3
436,MIRA,Susan Mallery,1488023689,2018-02-11,SISTERS LIKE US,1,3
437,Ballantine,Karen Cleveland,1524797030,2018-02-11,NEED TO KNOW,1,3
438,Del Rey,Pierce Brown,0425285928,2018-02-04,IRON GOLD,1,2
439,Vi Keeland,Vi Keeland,1942215711,2018-02-04,"SEX, NOT LOVE",1,3
440,Heidi McLaughlin,Heidi McLaughlin,None,2018-02-04,FOREVER MY GIRL,1,3
441,Ballantine,JR Ward,0698193326,2018-01-28,BLOOD FURY,1,2
442,Putnam,Chloe Benjamin,0735213186,2018-01-28,THE IMMORTALISTS,1,2
443,Dutton,Brad Taylor,1101984821,2018-01-28,OPERATOR DOWN,1,2
444,Putnam,Stuart Woods,073521719X,2018-01-21,UNBOUND,1,1
445,Simon & Schuster,James Lee Burke,1501176854,2018-01-21,ROBICHEAUX,1,1
446,Berkley,Jayne Ann Krentz,0399585265,2018-01-21,PROMISE NOT TO TELL,1,4
447,Scribner,Jesmyn Ward,1501126067,2018-01-21,"SING, UNBURIED, SING",1,3
448,Putnam,Robert Crais,0399573909,2018-01-14,THE WANTED,1,2
449,Waterhouse,Helen Hardt,None,2018-01-14,TWISTED,1,1
450,Morrow,Kate Quinn,0062654209,2018-01-14,THE ALICE NETWORK,1,3
451,Morrow,James Rollins,006238175X,2017-12-24,THE DEMON CROWN,1,3
452,Orbit,James S A Corey,0316332828,2017-12-24,PERSEPOLIS RISING,1,2
453,Delacorte,Danielle Steel,1101883979,2017-12-17,PAST PERFECT,1,2
454,Bantam,Dean Koontz,0345546814,2017-12-10,THE WHISPERING ROOM,1,3
455,Grand Central,James Patterson and Ashwin Sanghi,1538759659,2017-12-03,COUNT TO TEN,1,3
456,Red Dress,Meghan March,1943796033,2017-12-03,DEFIANT QUEEN,1,2
