,isbn,ratings_count,reviews_count,text_reviews_count,work_ratings_count,work_reviews_count,work_text_reviews_count,average_rating
0,1501101560,79,116,26,26511,53607,2796,4.11
0,0062220578,16,31,9,14308,24457,1732,3.87
0,0061750239,132,206,2,162379,221366,3383,3.76
0,1476791465,356,503,123,123459,300242,14373,4.22
0,030727103X,52843,135299,7059,70835,170045,9486,3.52
0,1250034507,37,82,8,25750,46823,1732,4.15
0,1429974125,24,46,12,9354,18611,1283,3.62
0,1455559385,5,11,0,15222,30692,1233,4.2
0,0062075829,99,145,22,21147,39198,1528,4.23
0,0440339812,255,453,75,31827,67803,3575,4.17
0,1250019842,97,164,28,30331,72755,4152,3.96
0,0698157273,22,34,4,13539,28213,1306,3.88
0,1426898762,30,57,4,3597,6538,324,4.53
0,1101621001,22,33,4,6809,14347,594,3.87
0,0345539826,105021,175124,8893,144945,270329,12104,4.44
0,1594204993,18125,47164,2558,21415,52572,2820,3.97
0,1476776083,79,163,18,22420,42866,1511,4.24
0,1250027683,6,27,2,10737,21455,1069,3.64
0,0062065416,68,84,14,14721,32295,1482,3.96
0,1476728208,1017,1550,205,11574,19781,1633,4.16
0,1476777977,122,160,27,22899,41252,1890,4.24
0,1459256476,2680,6130,232,3792,8005,284,4.04
0,081299387X,28,51,8,25079,51583,2711,3.32
0,0743446577,58,119,11,17588,45499,1039,4.26
0,1101618752,12,24,2,7671,15733,636,4.15
0,150110442X,154,264,28,13268,26598,966,3.83
0,1460340248,9,16,2,10162,19614,1048,4.04
0,0698155629,2,9,2,4507,8211,448,3.94
0,1400065674,66630,175458,8282,83925,210858,10130,3.83
0,1420134965,375,1314,26,1214,2972,56,4.24
0,0316235555,43,74,10,49299,84365,2159,4.47
0,1617735183,10,22,6,6194,13689,584,3.79
0,1451649967,91,124,37,18494,32546,1415,4.32
0,1101633530,120,197,28,64103,117207,5103,4.15
0,0698146409,178,221,54,39617,62766,2867,4.51
0,0698154088,1,13,0,4335,9031,360,3.72
0,1250020530,13,33,2,4382,9442,352,4.15
0,055339438X,3589,6973,367,4316,8175,398,3.86
